"zcta5","cbsa","cbsaname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","cbsa","CBSA Name","zipname","Total Pop, 2000 census","zcta5 to cbsa alloc factor"
"65501"," "," ","JADWIN",197,1 
"65529","40620","Rolla, MO","JEROME",240,1 
"65532"," "," ","LAKE SPRING",54,1 
"65534","22780","Fort Leonard Wood, MO","LAQUEY",656,0.907 
"65534","30060","Lebanon, MO","LAQUEY",67,0.093 
"65535"," "," ","LEASBURG",1564,1 
"65536"," "," ","LEBANON",55,0.002 
"65536","30060","Lebanon, MO","LEBANON",26215,0.991 
"65536","44180","Springfield, MO","LEBANON",180,0.007 
"65540"," "," ","ANUTT",379,1 
"65541"," "," ","LENOX",233,1 
"65542"," "," ","LICKING",4646,0.999 
"65542","40620","Rolla, MO","LICKING",4,0.001 
"65543"," "," ","LYNCHBURG",88,0.315 
"65543","30060","Lebanon, MO","LYNCHBURG",191,0.685 
"65548"," "," ","MOUNTAIN VIEW",561,0.102 
"65548","48460","West Plains, MO","MOUNTAIN VIEW",4946,0.898 
"65550","22780","Fort Leonard Wood, MO","NEWBURG",366,0.115 
"65550","40620","Rolla, MO","NEWBURG",2809,0.885 
"65552"," "," ","PLATO",1278,0.894 
"65552","22780","Fort Leonard Wood, MO","PLATO",115,0.08 
"65552","30060","Lebanon, MO","PLATO",37,0.026 
"65555"," "," ","RAYMONDVILLE",1095,1 
"65556"," "," ","RICHLAND",896,0.177 
"65556","22780","Fort Leonard Wood, MO","RICHLAND",3528,0.697 
"65556","30060","Lebanon, MO","RICHLAND",641,0.127 
"65557"," "," ","ROBY",166,1 
"65559"," "," ","SAINT JAMES",659,0.077 
"65559","40620","Rolla, MO","SAINT JAMES",7862,0.923 
"65560"," "," ","SALEM",13338,0.994 
"65560","40620","Rolla, MO","SALEM",83,0.006 
"65564"," "," ","SOLO",175,1 
"65565"," "," ","BERRYMAN",5214,0.987 
"65565","41180","St. Louis, MO-IL","BERRYMAN",66,0.012 
"65566"," "," ","VIBURNUM",915,1 
"65567"," "," ","STOUTLAND",1045,0.814 
"65567","30060","Lebanon, MO","STOUTLAND",239,0.186 
"65570"," "," ","SUCCESS",525,1 
"65571"," "," ","SUMMERSVILLE",2242,1 
"65580"," "," ","VICHY",801,1 
"65582"," "," ","VIENNA",2241,1 
"65583","22780","Fort Leonard Wood, MO","SAINT ROBERT",14045,1 
"65588"," "," ","WINONA",2552,1 
"65589"," "," ","YUKON",272,1 
"65590","44180","Springfield, MO","LONG LANE",1565,1 
"65591"," "," ","MONTREAL",834,1 
"65601"," "," ","ALDRICH",206,0.264 
"65601","44180","Springfield, MO","ALDRICH",573,0.736 
